"","iso3_code","country","region","year","homicide_rate","violence_rate","gdp","inflation_rate","unemployment_rate","hdi","crime_rate","personnel_rate","trafficked_victims","alcohol_consumption_rate"
"127","BMU","Bermuda","Americas",2022,14.0221862146329,NA,7827980000,NA,NA,NA,NA,NA,NA,NA
"128","BMU","Bermuda","Americas",2023,6.24326897563564,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","BTN","Bhutan","Asia",2015,1.61447864448373,11.8587300434103,2154921010.65558,4.54814395082205,2.45,0.625,0.044846629013437,NA,NA,0.32
"130","BTN","Bhutan","Asia",2016,1.2003817213874,11.2416700891836,2322730512.46893,3.21988689395718,2.737,0.635,0.222292911368037,565.913293760749,NA,0.18
"131","BTN","Bhutan","Asia",2017,1.71930040344045,23.4278296732546,2591358115.15844,4.95508366985129,3.039,0.644,24.6747948010245,572.923795977234,NA,0.2
"132","BTN","Bhutan","Asia",2018,1.18095280584545,31.2821276570617,2583335723.32125,2.7239638618372,3.35,0.655,23.9002353563961,NA,NA,0.2
"133","BTN","Bhutan","Asia",2019,1.04240096213609,25.6691236926012,2735683408.57651,2.7264303738882,2.72,0.668,21.1458480890464,NA,152,0.2
"134","BTN","Bhutan","Asia",2020,2.45952782243763,24.0257033602329,2457604042.40959,5.62936522632514,5.03,0.675,10.3374139303957,NA,179,0.18
"135","BOL","Bolivia","Americas",2015,4.89626500642105,23.3938672792979,33000198248.9146,4.05961041135645,3.111,0.688,10.3193841006154,NA,251,4.31
"136","BOL","Bolivia","Americas",2016,5.70007181025047,21.798779296771,33941126193.9219,3.62321431764138,3.498,0.7,7.9263849043631,NA,301,4.26
"137","BOL","Bolivia","Americas",2017,6.53227037757922,20.528993224103,37508642170.767,2.8227580554717,3.655,0.707,9.71861042956105,NA,397,4.19
"138","BOL","Bolivia","Americas",2018,4.94533211049802,22.1023606206823,40287647930.5355,2.27205987230155,3.519,0.712,10.336519511446,NA,332,4.1
"139","BOL","Bolivia","Americas",2019,4.2199771340072,26.3545395776299,40895322850.9407,1.83954504969026,3.682,0.715,10.3907384662803,NA,373,4.1
"140","BOL","Bolivia","Americas",2020,3.58574221764081,20.4145544079771,36629843806.0781,0.940742153381849,7.903,0.691,6.94737554667908,NA,305,3.59
"141","BOL","Bolivia","Americas",2021,3.4604161506397,24.9194903315547,40406111693.1983,0.737383721452275,5.089,0.691,1.1714088165443,NA,NA,NA
"142","BOL","Bolivia","Americas",2022,3.96756900911396,32.7549408504995,44008282879.8842,1.74632872945969,3.552,0.698,1.35933549899884,NA,NA,NA
"143","BOL","Bolivia","Americas",2023,4.31849645935758,NA,45849832906.4139,2.57688800489192,3.081,NA,NA,NA,NA,NA
"144","BIH","Bosnia & Herzegovina","Europe",2015,1.61733143717774,6.90061413195836,16404348871.4437,NA,27.695,0.757,84.9335456482814,173.631406571397,35,5.95
"145","BIH","Bosnia & Herzegovina","Europe",2016,1.29273717274358,5.83168102370994,17116926327.6247,NA,25.408,0.767,26.4752572977886,81.9061856940205,48,6.15
"146","BIH","Bosnia & Herzegovina","Europe",2017,1.22092064975071,5.27612137927987,18326373366.1105,NA,20.527,0.77,5.64675800509705,135.078881648313,83,6.33
"147","BIH","Bosnia & Herzegovina","Europe",2018,1.14701530441933,7.16443405529613,20484053868.9246,NA,18.4,0.774,31.4252782762065,136.105130128886,36,6.38
"148","BIH","Bosnia & Herzegovina","Europe",2019,1.24973517516526,4.75239430556042,20482608755.379,NA,15.692,0.78,22.9415671441051,98.8821076350147,61,6.38
"149","BIH","Bosnia & Herzegovina","Europe",2020,1.29580208340867,4.36956516498273,20226036564.4129,NA,15.868,0.776,33.8867312277453,146.161954768672,70,5.87
"150","BIH","Bosnia & Herzegovina","Europe",2021,0.978311147580377,5.13613352479698,23672712242.2149,NA,14.897,0.776,20.9310543516917,91.5113994430877,56,NA
"151","BIH","Bosnia & Herzegovina","Europe",2022,1.08240956120199,3.67135651166878,24534663636.1778,NA,12.657,0.779,28.8384833091672,NA,NA,NA
"152","BWA","Botswana","Africa",2020,8.6789124419475,89.4595590169973,14960291105.9316,1.8903591682421,21.017,0.701,21.3242056831561,NA,11,7.27
"153","BWA","Botswana","Africa",2021,10.5469623782512,NA,18750946600.1423,7.24097765588442,23.106,0.68,NA,NA,NA,NA
"154","BRA","Brazil","Americas",2015,28.3564057690353,80.7167497761385,1802212206904.68,9.02990102416136,8.538,0.752,29.0806189371363,NA,1228,8.2
"155","BRA","Brazil","Americas",2016,29.5891544359624,78.0186257558738,1795693482652.52,8.73914352329393,11.58,0.753,38.0852560764675,NA,1054,8
"156","BRA","Brazil","Americas",2017,30.5930372112011,76.6806698507317,2063514977334.32,3.44637335032669,12.792,0.758,318.844213586094,NA,35,7.79
"157","BRA","Brazil","Americas",2018,26.6360125084199,74.3277025002731,1916933898038.36,3.66485028376729,12.33,0.762,393.041692089157,NA,101,7.67
"158","BRA","Brazil","Americas",2019,20.8104641962605,77.7186293596408,1873288205186.45,3.73297621216894,11.936,0.764,301.638328540107,NA,83,7.67
"159","BRA","Brazil","Americas",2020,22.3840653447726,61.3291588769756,1476107231194.11,3.21176803803376,13.697,0.758,242.876630731835,NA,19,7.7
"160","BRA","Brazil","Americas",2021,21.2582479932938,NA,1670647399034.67,8.30165975585673,13.159,0.756,NA,NA,NA,NA
"161","BRA","Brazil","Americas",2022,20.6057680601148,NA,1951923942083.32,9.28010608956873,9.231,0.76,NA,NA,NA,NA
"162","BGR","Bulgaria","Europe",2015,1.72384213217929,11.3417867267987,50811995688.6771,-0.104633261008385,9.143,0.809,106.788306596386,99.0798787400193,406,11.44
"163","BGR","Bulgaria","Europe",2016,1.09026045494223,11.1130662195219,53964253211.84,-0.79864988645371,7.575,0.81,63.0055118374496,127.829588150663,446,11.65
"164","BGR","Bulgaria","Europe",2017,1.43405524788341,12.9064972309507,59309748166.1179,2.06159619443141,6.164,0.81,70.8939704229459,72.2556990916901,508,11.85
"165","BGR","Bulgaria","Europe",2018,1.29260122086185,10.4841199022512,66370132238.3914,2.81454473824829,5.212,0.811,54.9863480884519,76.2975934916484,443,11.92
"166","BGR","Bulgaria","Europe",2019,1.17688228851709,9.67264900984025,68881010245.5498,3.10372944796781,4.23,0.813,48.68955084282,76.6087575761038,404,11.92
"167","BGR","Bulgaria","Europe",2020,0.988655535933688,9.38745147766987,70368758395.141,1.67244096855756,5.125,0.802,41.0517994329835,78.7219529119539,457,11.62
"168","BGR","Bulgaria","Europe",2021,1.29250226696184,9.63809742891771,84041493015.6618,3.29774435299515,5.267,0.796,37.2010527157272,79.595733506032,466,NA
"169","BGR","Bulgaria","Europe",2022,1.12062115440788,10.8449586719342,90346169914.9349,15.3252589264366,4.268,0.799,56.765359476835,NA,NA,NA
"170","BDI","Burundi","Africa",2015,4.29750719412959,NA,3104003546.26497,5.54468891259779,1.444,0.42,NA,NA,NA,4.19
"171","BDI","Burundi","Africa",2016,5.82390991080888,NA,2644487776.50077,5.55768961400965,1.356,0.423,NA,NA,NA,4.19
"172","CMR","Cameroon","Africa",2015,3.74142096734895,7.04503919084146,32210233021.4049,2.676235314199,3.52,0.562,30.3847416306926,NA,NA,10.72
"173","CMR","Cameroon","Africa",2016,3.31904639200257,2.97111586171006,33814337040.7817,0.874190383288856,3.534,0.566,NA,15.7334888688237,67,10.41
"174","CMR","Cameroon","Africa",2017,4.11590418994947,6.03857258146969,36098547058.7851,0.64040914988195,3.581,0.574,NA,18.3247925588388,22,10.16
"175","CMR","Cameroon","Africa",2020,4.53737515565141,7.08917682388798,40773241177.0505,2.43760882182236,3.866,0.585,0.465565393120083,NA,NA,9.6
"176","CAN","Canada","Americas",2015,1.70994583417735,97.253285927254,1556508816217.14,1.12524136094277,6.945,0.927,343.465629301126,135.262032827266,237,9.92
"177","CAN","Canada","Americas",2016,1.70573180158618,99.2961124193926,1527994741907.43,1.42875954701085,7.038,0.928,352.407671293013,134.305611536418,231,9.92
"178","CAN","Canada","Americas",2017,1.81920903089285,86.6994770948414,1649265644244.09,1.59688412852977,6.426,0.929,356.85924812165,188.833897406678,268,9.95
"179","CAN","Canada","Americas",2018,1.78748605315357,92.54309806697,1725329192783.02,2.26822567248103,5.837,0.93,373.117462620885,131.504430886311,238,9.9
"180","CAN","Canada","Americas",2019,1.83622743475696,105.514737704924,1743725183672.52,1.94926902411593,5.69,0.932,391.039918263322,129.548643836772,382,9.9
"181","CAN","Canada","Americas",2020,2.01643207388587,108.231275181954,1655684730000.19,0.716999632307827,9.657,0.928,330.81853059601,75.5845310627534,375,9.89
"182","CAN","Canada","Americas",2021,2.08622657489926,117.294831784766,2007472181464.15,3.39519318527528,7.527,0.934,326.173213027502,183.76091717649,343,NA
"183","CAN","Canada","Americas",2022,2.27282615035754,76.5938945353709,2161483369422.01,6.80280115341613,5.28,0.935,366.114474303132,NA,NA,NA
